ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
524,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Bidemba /Ekone,12.69722222,4.90444444,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,43,0.5375,APOC,APOC,ACMR0081907447,0.585,1.00199997425079,0.675824646024387,0.101871701034586,0.8443051115061,0.388937001840147
369,Cameroon,7,CM,CMR,ADAMAOUA,818,BANYO,7421,BANYO,7421,null,11.85,6.8,1,Village,2000,Before 2001,Mapping,RAPLOA,Questionnaire,66,13,0.196969697,APOC,APOC,ACMR0081807421,1.049,25.9850006103516,0.587213484054105,0.124409973445466,0.773295306914416,0.38615761196192
733,Cameroon,7,CM,CMR,LITTORAL,822,MANJO,7513,MANJO,7513,Manja,9.91777,4.98024,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,10,0.125,APOC,APOC,ACMR0082207513,1.064,11.3170003890991,0.718234830174793,0.081846272348732,0.843205994499893,0.503549663211422
843,Cameroon,7,CM,CMR,NORD OUEST,824,NDU,7553,NDU,7553,Mbot,10.73333333,6.46666667,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,122,16,0.131147541,APOC,APOC,ACMR0082407553,1.903,37.3899993896484,0.611599035110702,0.12461206224227,0.774421134448811,0.372654603726687
999,Cameroon,7,CM,CMR,SUD,826,KRIBI,7584,KRIBI,7584,NKOOLONG,10.03056,2.85285,1,Village,2009,2006 - 2010,Mapping,RAPLOA,Questionnaire,64,34,0.53125,APOC,APOC,ACMR0082607584,0.054,12.8940000534058,0.754013030268108,0.082870276791966,0.907136356826421,0.48336200273298
673,Cameroon,7,CM,CMR,EST,820,MESSAMENA,7468,MESSAMENA,7468,MAKAK,12.66666667,3.41666667,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,40,25,0.625,APOC,APOC,ACMR0082007468,0.674,32.7919998168945,0.768100859745352,0.065616075626235,0.912955314594579,0.574231747662462
636,Cameroon,7,CM,CMR,EST,820,DOUME,7463,DOUME,7463,MADOUMA,13.25833333,4.20722222,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,51,0.6375,APOC,APOC,ACMR0082007463,0.728,62.7369995117188,0.763691537889138,0.074650469149058,0.902137611325438,0.53570034723201
460,Cameroon,7,CM,CMR,CENTRE,819,MBALMAYO,7442,MBALMAYO,7442,Ndangueng,11.60688,3.58039,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,44,0.55,APOC,APOC,ACMR0081907442,0.681,2.95000004768372,0.758353310195526,0.073793639712496,0.86436733330177,0.546740987037922
714,Cameroon,7,CM,CMR,LITTORAL,822,ABO,7503,ABO,7503,Nkapa,9.43638889,4.30083333,1,Village,2005,2001 - 2005,Mapping,RAPLOA,Questionnaire,92,15,0.163043478,APOC,APOC,ACMR0082207503,0.013,0.130999997258186,0.701563106232618,0.107503155499602,0.841821796946334,0.427708685401141
805,Cameroon,7,CM,CMR,NORD OUEST,824,BENAKUMA,7547,BENAKUMA,7547,Wum,10,6.38333333,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,17,0.2125,APOC,APOC,ACMR0082407547,1.061,5.4060001373291,0.660604656843399,0.140986641952023,0.820962812991101,0.345842390477609
